titl,push,tag,text,date
[問題] 在返利網購物會算國外消費嗎？,2,,"


沒有用過返利網
想請教使用過的版友，如果是使用國外的返利網站
那這筆消費會算國外消費嗎？

根據爬文後自行判斷，
應該是會看我實際下單的網站判斷是國內還是或國外消費
比如說：在agoda（國外公司）就是國外消費，在Pchome購物就是國內消費
請問這樣理解是正確的嗎？

還有因為想要設定分期，我想要在kkday購物，但是算成國外消費
有什麼辦法可以把它變成國外消費嗎？
還是我異想天開了，哈

謝謝大家

--
",10月5日
[公告] 水桶名單 ko***ao,1,,"

第二條 中度犯規 處理：砍文 / 停權2~4週 / 視情況劣文

    7. 徵求文：禁止公開徵求辦卡業務專員。(註3)、
               徵求代刷卡、推薦人、被推薦人、核卡禮物...等。
               與個人利益有相關的任何徵求請移駕其它合適板面。


使用者 ko***ao 發表 
 一文(已刪除) 徵求業務，

違反版規2-7，水桶2週並劣文。

crazyghost @ creditcard

--
", 8/03
[心得] 遲來的申辦心得,1,,"

[職業類別]：超商零售業

[工作年資]：兩年半 快三年

[年齡]：26

[年收入]：填二十幾萬吧 每一間都填二十幾萬

[申請卡別]：

華南icash + icash OP卡 + 夢時代一卡通

玉山icash + 寶雅悠遊卡 + 家樂福悠遊卡

中信line pay

台新gogo卡 icash

[提供之財力證明]:三個月薪資條

[是否貸款]：學貸 剩五萬左右 我大學沒畢業 暫時沒想要回去讀

[已持有卡片與額度]：

  華南三張共用額度三萬  玉山三張共用額度十萬

  中信line pay 七萬 台新gogo icash 七萬

[三個月內有無辦卡]：台新gogo卡 剛辦沒多久

[申請過程/心得]: 遲來的申辦心得

      我第一張脫離小白是 華南icash 月亮版 額度三萬 是不高沒錯

  但我薪水也不高 對我來說這樣就好了 去年中半的 用了半年之後

      今年陸續辦了玉山 icash 跟 寶雅聯名卡 我只是想要那個鍋子而已

  icash 就偶爾想到就去7-11買東西用而已 之後這兩張我想可能會剪

  五筆699對我來說我沒辦法花到這麼多就算了 會辦家樂福卡是因為我辦了OP卡

  我沒有家樂福的會員才順便辦那張 首刷禮拿完後就只是純粹拿來當會員卡使用

  本來想要拿玉山申請電子帳單有幾百塊的抵用券 結果我不知道按了什麼 就被取消了

  算了 沒差那幾百塊

      中信line pay 在我生日那天 跟開戶一起辦的 今年初的時候

  好像有些優惠就沒有跟到 還蠻可惜的 但我蠻常去7-11 或全家的 累積也蠻快的

  點數我通常買家樂福的抵用券拉 現在沒有兩百的蠻可惜的 我覺得兩百還蠻好用的

  華南op卡是看在有十倍送 假如我中信花太多才會拿出來用icash

  兩筆7-11我通常去家樂福儲值禮物卡 分次用完 不然我也不知道要買什麼

      夢時代卡是辦順便的 只是想要多一張有兩百儲值一卡通聯名卡 之後可能也要剪吧

  台新gogo卡是上個月底網路送件再走一趟銀行 八月初就送來? 還蠻快的

  以為會等超過一個月 我聽說會掉色 我一收到馬上放在夾鏈袋裡包好 XDDD

  最近用來綁街口跟歐付寶 有3.5%回饋

     之後可能就只會留OP卡跟lnepay 家樂福卡 還有台新卡這樣

  不小心辦這麼多 也意外核卡了 我以為我的工作性質不會讓我過的說

  話說澳盛信用卡好過嗎? 不然他也有五%的回饋的說..... 但下一年有年費 有點猶豫

--
", 8/29
[問題] 請款時間點與單筆分期問題,0,,"

事情是這樣的

我在星期六刷了一筆需要單筆分期的款項

理論上是要請款後才能作單筆分期

結帳日是1日也就是明天

到現在店家還沒有請款

所以這樣結帳算起來應該是到今天晚上11:59為止嗎

會不會有可能店家在今晚請款然後就無縫跑進這個月帳單了呢?

如果會的話還有辦法作單筆分期嗎 還是就只能變成帳單分期?

(我的卡片是元大鑽金卡)

--
", 7/31
[情報] 中信/花旗/玉山 奇摩購物中心App拿購物金,4,,"

網址：


算是Yahoo奇摩最近在推99購物節的其中一個活動
使用購物中心的App結帳 並使用中信Yahoo聯名卡 或 玉山卡
結帳滿999送100購物金 都需要登錄
另外指定商品還有滿三千可以折三百

玉山好像不限卡種 只要App結帳就是送一百刷卡金
比較方便 可以搭麗寶聯名卡的3%或Icash聯名卡5筆699的網購5%
花旗也不限卡種 但網購好像沒有特別的回饋
中信就一定要用Yahoo聯名卡
除了999之外還有原先的6%

我自己應該是會用玉山的Icash聯名卡～
這個月應該湊得滿五筆～

--

加減用摟~XD
", 9/07
Re: [問題] pchome刷卡金疑問,15,,"

大家好！

這幾天正要買筆電看不太懂所以想請問

pchome儲值送購物金+銀行活動刷卡金

因為買儲值金無法分期，

以富邦銀行刷滿三萬為例活動寫限分3,6,9期才有

可是用儲值金結帳不就沒有分期的意義了？

(連同本來2%回饋也無法分期全拿了)

另外進銀行網站額滿就看不到了是嗎？


--
", 9/01
[問題] 美國amazon刷渣打信用卡,7,,"

請問有人用渣打信用卡刷過美國AMAZON網站嗎?

我有看到大家討論什麼DCC跟GC

但是其實我不是很懂

我結帳那邊有選擇USD

結果渣打信用卡刷卡通知出來匯率大概33.3(誇張高)

比AMAZON上面31.85還誇張~

請問是在AMAZON刷台灣的卡片都會這樣嗎?

我現在想說先取消訂單換一張卡片看看

--
", 8/04
[閒聊] 信用卡網路購物的終極挑戰,31,,"




一次付清特價三百六十三萬，照前面版友PO的統計表，

卡版只有一張卡在不臨時調額或溢繳的狀況下刷得過... XDD

--
Sent from my Windows

--
", 8/09
[心得] 學貸 台新@GOGO悠遊御璽卡 核卡,6,,"

[申請卡別] @GOGO悠遊御璽卡

[職業類別]：傳統產業

[職業] 工程師

[目前工作年資] 1個月

[年齡] 23

[年收入] 填50萬

[提供財力證明] 薪轉戶

[是否貸款] 學貸300K

[已持有信用卡] 花旗現金回饋白金卡 20K

[核卡額度] 120K

[辦卡進度]
9/12銀行端打來告知需補財力證明，要三個月薪資資料，告知公司用台新當薪轉帳戶，工
作未滿一個月所以現在還沒有，他說幫我註明為薪轉戶，不過信用卡端那邊可能還是會要
求財力證明。

9/13信用卡端打來要求補財力證明，一樣告知為薪轉，他說那等到發薪日再來審核。

10/4薪資單比薪水早下來，想說被扣的有點多，不然進到帳戶不到30k，想說打客服看看
如何補薪資明細，最後只跟我要了帳號，其他都沒要。

10/5晚上收到簡訊核卡。

心得：
原本只想辦richart帳號，覺得卡門不錯看順手勾了信用卡。

原本還沒這麼快想辦卡，只是覺得卡面好看就順便點。

12號銀行打來，我也直接跟他說9/1號到職未滿一個月，只是辦richart帳號順便點的。

13號信用卡端打來說那我們下個月5號再審。

10月初看到薪資單不到30k，想說打客服看看怎麼補薪資明細，客服說是電子薪資單就不
用了，跟我要了薪轉帳號。

5號晚上簡訊告知核卡

我只是覺得卡好看而已，花旗學生卡都刷不爆了。

--
",10月6日
Re: [問題] 辦澳盛現金回饋卡被刁難,8,,"

因為幫朋友的朋友做業績
結果被刁難了
只好到版上來看看有沒有人有類似問題
在九月底十月初時進件
一起進件的親朋好友都核卡了
其中多位好友跟我同公司 但是我是正職員工 連約聘的也核卡了
第一次提供的財力文件為「中國信託網銀有個薪資明細功能」中的近一年明細（上面清楚
記載入帳時間及我的帳號）+存摺封面
被朋友告知澳盛說我的資料不認列（不參考不正式）
其實我之前辦卡也有用過這樣文件
不過既然是幫助好友就麻煩一點
上週又補了國稅局線上報稅的「完稅收執聯」
沒多久朋友又告知 澳盛說「完稅收執聯」不行
因為不是國稅局給的正本
我非常納悶
現在應該非常多人都是用自然人憑證報稅
這麼方便的世代還有銀行要求你必須親臨國稅局去索取「正本」
於是致電客服單位詢問此資料究竟哪邊不符合規範
客服單位一樣的話又跟我說一次、講到最後跟我說審核部會回電我說明關於「收執聯」不
認定的原因
又等了三四天
朋友拿著所清的委任書請我簽名
因為銀行完全沒有請審核部找我、而是直接找業務
並且責怪我的業務為什麼沒跟我說明清楚

所以我再次致電客服
客服還是一樣的說詞
表示「完稅收執聯」不認列的原因他不清楚
並且還說 「也有可能是你的財力不足、所以才要求你補資料」
聽到這邊我就有點被惹怒了、
因為我手上的卡片數量很少
收入也不算差
實在不懂澳盛到底標準在哪
於是我問客服：「請問你們卡片財力門檻需要多少」
客服回覆：「我們沒有所謂的門檻」
接著跟我確認資料後說要再去確認一下之前致電的事項
她詢問後回覆
一定要「所得清單」才要核卡
這真的是我遇過最奇葩的事情了
要不是幫朋友做業績我真的懶得申請這張卡

之前也幫過同一家的業務
卡片沒開卡放幾個月就取消了
不曉得是否因?這樣所以故意刁難我


金


--
",10月21日
[問題] 華南OP超點卡排除HCE消費之Android Pay也算是？！,10,,"

剛申請了華南OP超點卡
想要用Android Pay刷兩筆711賺12%
順便拿OP點數(網路申辦禮20,000及新戶滿額禮180,000)
但看了一下注意事項
發現兩筆711有排除HCE手機信用卡交易



就我自己認知HCE手機信用卡應該是t wallet+ (台灣Pay)
但打去客服確認卻跟我說他也不確定Android Pay算不算是HCE手機信用卡？！
所以上來問一下大家
是否有人有用Android Pay湊過兩筆711成功的
謝謝

--
", 8/26
[問題] 請教市區停車問題,4,,"

看了中信市區停車的規定似乎沒有提到只限汽車
有些機車停車場是嘟嘟房的
想請問有沒有卡友試過用優惠停機車？
謝謝

--
",10月23日
[問題] 請教聯徵b28 b29 b33這三者的差別,0,,"

網路上查到b28可以看到貸款的即時清償資訊，想請問那即時新增貸款的資訊代號是？

一般來說聯徵好像都是隔月15號左右更新，想請問有大大知道這三個科目代號的差別嗎？

--
", 7/29
[閒聊] 樂天分眾wifi,8,,"

剛剛收到簡訊

【樂天JCB卡友貴賓專屬，轉發無效】送您遊日本5天免費WiFi序號，8月國內實體消費累
計滿NT8千元，並至會員頁面登錄即可參加，限量1050組，序號依登錄次序及入帳日寄出
。詳情 https: 謹慎理財信用無價循環信用年利率6.75~15%

不過近期應該沒有要去日本

應該就沒用囉QQ


--


", 8/09
[問題] 請問刷卡機操作有辦法拆單刷嗎,4,,"

大家好，由於最近朋友新辦卡片，首刷禮要刷兩筆711

今天晚上要去吃飯要刷兩千塊(一桌)

想請問一下發票如果只開一張2000元的發票

機台操作上有辦法拆成兩筆1000元刷卡嗎

如果機台操作上可以的話我晚上會問問店家意願能不能拆成兩筆刷

謝謝各位

--

因為他是一桌2000元 不是很多道菜加在一起兩千元
之前去吃他發票上面就是一個品項 桌菜 2000 這樣POS機有辦法拆帳嗎
謝謝你>""<

兩張發票我可以  可是只有一個品項 POS機有辦法拆成兩張發票打嗎
技術上可行的話我進去會問問店家意願的
非常感謝你
", 8/07
[問題] 華南超級 超商op10倍,17,,"

最近剛辦一張華南超級點數卡 天天去7-11都十倍我是知道
但是我發現去消費後獲得的點數好像不只十倍？
買兩個麵包50元 點數1000; 買65便當 點數900
這其中應該有什麼誤會吧XD 還有什麼活動優惠是我漏掉的嗎？
感謝指教

--
", 8/17
[情報] 台新卡友限定，卡卡回饋50元,14,,"

活動期間：2017/10/01~2017/12/31

活動內容

活動期間，於台新卡得利行動支付功能，加載台新信用卡，並消費成功享以下優惠回饋：

不限金額消費成功，享NT50元刷卡金。 (每手機信用卡 限回饋1次，限量10,000卡)

使用Mastercard消費，再享摩斯薯條券(小份)。(每人上限1張，限量5,000份)

詳情請見活動網址:




注意需一直綁定到回饋金下來為止
活動期間每信用卡持卡人之手機信用卡限回饋一次，每手機信用卡回饋NT50元，台新銀行
預計於2018年2月28日前將刷卡金回饋至正卡持卡人信用卡帳戶。

台新卡友衝啊

--

只限安卓手機哦
",11月7日
[問題] 新加坡常駐辦卡建議,11,,"

[職業類別] : 物流業

[目前工作年資] : 0.5

[年齡] : 23

[年收入] : 0.8M NTD

[可提供之財力證明] :

[已持有的卡片與額度] :

無

[是否有無貸款] : NA

[最近3個月內有無申辦] : NA

[希望有的功能] :

在板上爬文過後 大部分的國外刷卡有提到會使用元大鑽金無腦刷較容易

也有提到新加坡辦卡不易且很刁

想問是否還有其他選擇?

小弟另外還有在玩里程 目前是ANA家庭桶跟亞萬

因Base在新加坡及台灣  希望能找一張是星空聯盟的卡(長榮+新航)









 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.45.63.122
", 8/27
[情報] 全國加油站刷台新~每公升最高降$1.2,12,,"


今天才注意到

主要是要告訴大家10/1過後縮水了

原本台新是平日自助降1.4 縮水剩1.2

不過除了聯邦的聯名卡降1.8以外

最多的就是花旗的週一1.5  或兆豐天天1.5

以平均每次加30公升今日油價26.3來算=約789

花旗週一降1.5=省45

台新用狗卡降1.2=省36
外加狗卡回饋1.5%=(789-36)*1.5%=約11

台新等於共省47


結論：在全國加油用自助且刷卡者 不看聯邦聯名卡
      當次如果加超過30公升可以用台新狗卡

      小於30公升者請選單一公升回饋高的卡刷






活動期間： 2017/10/01~2017/12/31

【汽油天天降】  刷台新卡加汽油：

●自助加油天天降NT1.2元/L，人工加油天天降NT0.9元/L。



【滿額再送200元刷卡金】

於全國加油站(含其他指定加油站)刷台新信用卡加油：

●累積消費滿NT8,000元(含)以上，回饋NT200元刷卡金


--

廢話 我當然知道油價是浮動的
只是約略算一下給大家知道平衡點在哪
加的金額越多 算%的回饋金就越高
你的1.5%=0.3945 如果油價浮動還不是會變
這個跟扯數字邏輯有何關係 算到小數點多位就比較厲害？
要精算就應該每次加油依照油價跟公升數去推算刷哪張比較划算
",#N/A
[閒聊] 華南旅鑽大三元年費出帳了,23,,"

距離旅鑽大三元上市也滿兩年了，應該很多人差不多要收到年費了，不知道有沒有人已經
減免成功或是有什麼條件呢?

一次出了34000的年費真的看到有驚訝一下QAQ

目前只想留旅鑽極緻..
無限跟世界沒什麼用到

--

往前回推一年 JCB刷了兩萬多 VISA跟MC刷0 客服幫忙送申請減免然後回電說
JCB有過，其他兩張需要我提供財力證明 因為我是自由業 或 在華南買基金才能減免
然後我請他拉聯徵看我其他銀行刷卡紀錄 他說他們不能拉 我就想說算了就剪另外兩張
但是另外兩張沒帶在身上，結果客服過一段時間又打電話給我說三張都減免了...
", 8/02
[情報] 台塑聯名卡優惠更新10/1,0,,"

最近週週漲的油價，不無小補啊

優惠期限106/10/1~106/12/31

 站內加油消費
 ● 降價優惠天天享，每公升最高降NT$1.2
 ● 加油金加倍折抵，限時開放每公升可折抵2元
 ● 筆筆消費再享 0.5%加油金回饋

站外一般消費
 ● 不限通路     消費NT$200回饋 1元加油金
 ● 指定通路*    消費NT$200回饋 2元加油金






--
",10月1日
[心得]中信Line Pay核卡+台企銀商旅鈦金卡,40,,"

[職業類別]：資訊

[工作年資]：10+

[年收入]：1600K


[提供之財力證明]：106年度扣繳憑單

[有無貸款]：無

[核卡額度] :中信Line Pay卡：500k (跟中信完全沒有往來過)
                     附卡 :300k



            台企銀商旅鈦金卡 : 正附卡皆300k
                              （在台企銀有開戶基金投資約10年）


[已持有信用卡額度]：

花旗Prestige卡:350k (剛剪)
花旗超級紅利卡:350k

華南紅卡:500k

台新新光三越卡:200k

[近三個月申請]：兩張卡同時間申請


中信Line Pay卡
[申辦過程]：
8/17 上網填申請書
8/18 寄出申請書(附上106年度扣繳憑單)
8/22 收到簡訊說已經核卡(無照會電話)
8/25 收到掛號

台企銀商旅鈦金卡
8/18 臨櫃填寫申請書
     財力證明部分 (附上106年度扣繳憑單)
8/23 照會電話
8/30 收到正附卡掛號
8/31 收到PP卡掛號 效率比當初辦花旗送的PP卡
     寄送速度快很多


[心得]：
手邊有的信用卡並不多,火力主要集中在華南紅卡(累積ANA)
去年跟風辦了花旗的Prestige卡,也享受了國外機場接送和幾次的貴賓室
今年覺得優惠縮水,決定剪卡
卡版爬了一下文,決定衝Line Pay鼎級卡

申請網路銀行的時候,一直無法成功
去電詢問客服才知道原來是和自己同身分證號碼的人已申請(據說年紀很大了)
中信客服很專業也很有耐心
現在已經處理完成,決定用買網銀買基金的方式來衝鼎級卡
希望一切順利

台企銀商旅鈦金卡部分也是爬文才發現,這張卡挺好養的
國外旅行時也能去貴賓室休息一下
雖然沒有花旗去年的PP卡那麼威 正卡可以無限使用 附卡也有8次
但是也算是不錯



--
", 8/30
[問題] 請問中國信託在台中的百貨公司駐點嗎？,0,,"

想辦LinePay信用卡

平日要上班，不想特別請假去辦

想請問中國信託有在台中的哪間百貨公司駐點嗎？


想要熊大的麥克風啊啊啊啊.....

--
", 9/13
[心得] 桃機一航D區 環亞貴賓室,4,,"

*使用昇恆昌無限卡進入

圖文好讀版



前兩個月跟風辦了台新銀行昇恆昌無限卡，不用刷團費或消費滿額即贈送桃園機場環亞貴
賓室與桃園、台中、高雄摩爾貴賓室服務，每次出國可使用1次。國外則送不限次數使用
的PP卡，對於常出國的旅人來說是張不錯卡片。這篇簡單分享桃機第一航廈D區(也就是往
A登機門方向)的環亞機場貴賓室給有需要的旅人參考

第一航廈的環亞貴賓室都在4樓、且在同一條走道上，這裡還有華航、國泰貴賓室，兩個
環亞貴賓室相距不遠。如果你的登機門是在A，這個D區貴賓室會比較順路。

我早上10點多進來幸運只有2組客人~稍晚人就多了，不過由於進入條件較嚴謹，跟香港機
場環亞貴賓室比較起來還是相對清幽許多。

＊特別留意進入本國機場貴賓室需出示台新昇恆昌無限卡與登機證即可進入，國外機場才
是使用PP卡+登機證進入，誤用的話會收900元使用費喔

香港國際機場 Plaza Premium Lounge 環亞機場貴賓室(西翼) JCB 白金卡等級以上免費
使用

香港機場 Plaza Premium Lounge 環亞機場貴賓室(東翼) JCB 白金卡等級以上免費使用

一進入貴賓室便是環亞特有的蜂巢型個人座椅，與環亞LOGO相呼應，適合獨身行動的商務
旅人

貴賓室左右兩側的沙發區配置相同，不過可惜沒有躺椅或舒眠區設計，人多的話只能坐著
睡。室內有獨立廁所，但沒有吸菸室與淋浴間

餐廳兼辦公區

喜歡長餐桌下的設有國際插座與USB充電孔，方便工作使用

至於大家最期待的就是餐飲服務了，不過比起航空公司貴賓室，環亞的餐飲相對簡單許多
，簡單填飽肚子還可以，稱不上超級豪華豐富 (你可以跟華航、國泰貴賓室比較一下XD)

自動咖啡機、茶包、飲料冰櫃

冰櫃的亮點應該是台啤 「飲酒過量，有害健康」

我喜歡可樂機！早午餐配可樂才爽阿～

另一款酒精飲料就這兩支紅白酒，沒有其他烈酒或調酒服務。

熱食把費固定出5道菜，當天吃到炸春捲、奶油玉米、炒花椰菜、香料玉米蛋炒飯、茄汁
雞腿

熱食另一亮點是全天供應的現做餐點，有肉粽蠻酷的，不過它是北部粽啊啊！(南部粽擁
護者感到失望XD)

冷食沙拉甜點區

簡單吃個早午餐就準備去登機了，至於味道咩～不難吃就OK這樣，真的是簡單填飽肚子啊
！

未來再趁幾次出國機會把桃機剩下的貴賓室都補起來吧～

環亞機場貴賓室官網：


--
", 9/07
