,Unnamed: 0,Unnamed: 0.1,titl,link,push,auth,date,text,reply,date_new,predict_tag,final_push
2142,2142,10804,[問題] 請問元大的已繳款通知,/bbs/creditcard/M.1505224708.A.EF3.html,13,Ertkkpoo, 9/12,"

大家好

我手頭上有元大鑽金

先前已經透過超商繳款成功

但是經過了一周，始終沒有收到已收到款項通知或是網路銀行顯示已入帳



所以有點擔心到底元大有沒有收到我的款項? 萬一沒入帳不就會信用分數降低?

因為富邦已收到款項都會寄發郵件通知

不太清楚其他也是元大客戶的板友是否有類似經驗?



謝謝

--

我有到網銀查，已經一周了，確實還沒入帳QQ
",16,2017-09-12,0.5316490011936821,13
2151,2151,10813,台新Richart自動扣款沒有扣?,/bbs/creditcard/M.1505278252.A.CF8.html,17,rosabella, 9/13,"


人生第一張信用卡所以對繳費不太清楚


這個月帳單昨天出來了

Richart app上寫著自動扣款生效日是9/12

可是今天都9/13還沒扣款

想請問這樣代表我需要自行繳費嗎？

-----
Sent from JPTT on my SHARP FS8002.

--
",18,2017-09-13,0.4123926644613633,17
2152,2152,10814,[問題] 請問中國信託在台中的百貨公司駐點嗎？,/bbs/creditcard/M.1505279834.A.0F2.html,0,dogshiter, 9/13,"

想辦LinePay信用卡

平日要上班，不想特別請假去辦

想請問中國信託有在台中的哪間百貨公司駐點嗎？


想要熊大的麥克風啊啊啊啊.....

--
",22,2017-09-13,0.8538414722859442,0
2158,2158,10820,[問題] 遊韓國(日本)推薦卡片,/bbs/creditcard/M.1505299293.A.9B6.html,0,leongood, 9/13,"

Hi 各位大大們
想跟大家詢問一下，最近要去韓國玩
最近有看到一張元大的""鑽金icash聯名卡""
感覺還不錯,大家還有更棒的選擇嗎?

PS：之後也會想往日本跑

--
",15,2017-09-13,0.4332651867742772,0
2169,2169,10831,[情報] 華南 Hello Kitty 收到卡了,/bbs/creditcard/M.1505352037.A.9BD.html,46,JFHo, 9/14,"

9/12 才接到照會的電話, 今天就收到卡片了



沒想到能搶到首發 XD

--
",46,2017-09-14,0.7504762548620234,46
2173,2173,10835,Re: [心得] iPhone 8／iPhone Ⅹ 新機刷卡攻略,/bbs/creditcard/M.1505366155.A.8DC.html,11,Vett, 9/14,"




補一個聯邦的  不是2%的 (聯邦2%半殘沒在用了)

中華 神腦 遠傳 台哥大 亞太 台星 三星 得誼 StudioA 實體通路

分期就送200,400,600(約1.6%)  分6期再送50 (約1.8%) 刷卡金....

分期
14000 送 200
28000 送 400
36000 送 600

分6期以上
14000 送 250
28000 送 450
36000 送 650

--
",11,2017-09-14,0.48965975750215396,11
2174,2174,10836,[問題] google app綁信用卡，收到刷卡簡訊,/bbs/creditcard/M.1505373059.A.CC1.html,2,yuanta, 9/14,"




剛剛用google app綁定信用卡

本來要買東西(美金計價)，後來沒有買

結果收到一個消費30元的簡訊，

我才想到應該是美金的關係

它竟然給我charge 1美金

想請問這30元會退還嗎

--
",3,2017-09-14,0.4015071375982296,2
2176,2176,10838,[情報] @gogo數位通路9/11更新,/bbs/creditcard/M.1505383861.A.478.html,90,puibiuz, 9/14,"




注意事項的第5項和第6項

新增蠻多的
有點混亂感
不知道之前中英文請款名不同的問題
是否還在(?

--
台新開始給糖吃(?

--
",94,2017-09-14,0.3436882858333163,90
2181,2181,10843,[問題] 如何推算店家的請款日期,/bbs/creditcard/M.1505397892.A.4ED.html,8,whoamiqq, 9/14,"

大家好

信用卡帳單上都會有兩個日期，一個是消費日，一個是入帳日

有的時候消費後隔了一個多禮拜才入帳

有時候則是超快，例如第三天就入帳

感覺是商店自己決定的(看它何時請款)

請問這是有跡可循嗎 ?


如果9/1消費，店家當天就立即請款，會9/2就入帳嗎 ?

另外就是，若在假日消費，例如週六，最快是要等到星期一才會入帳嗎 ?

謝謝


--
",13,2017-09-14,0.5706641460844647,8
2185,2185,10847,[問題] 日本刷卡選Line Pay或元大鑽金?,/bbs/creditcard/M.1505423668.A.7DE.html,0,sixmochida, 9/15,"

目前手上有

LinePay卡
元大鑽金iCash聯名卡Master

去東京主力要刷那張卡好呢？

謝謝

--
",16,2017-09-15,0.7454041865860787,0
2186,2186,10848,[問題] 請問微軟azure免費試用版對我的visa圈存,/bbs/creditcard/M.1505435973.A.6EA.html,0,dodoboy, 9/15,"

各位朋友您好
請問微軟azure免費試用版[雲端產品]
要求我提供信用卡或visa卡來做認證
他對我的visa卡作圈存
請問 藉著圈存 微軟是不是就能從銀行調到我部分資料了?持卡人姓名地址 之類?
若各位朋友肯回覆小弟
小弟感激不盡

--
",2,2017-09-15,0.4490836363282528,0
2197,2197,10859,[問題] 聯邦理財白金卡繳中華電信,/bbs/creditcard/M.1505464753.A.DB4.html,3,goodjack83, 9/15,"

最近想申請這張小套牢來繳中華的電話費，

在聯邦的網站上面填完申請書才看到最後面有一個表，

信用卡利率/費用一覽表，裡面有一筆列出中華電信，




所以用這張卡繳中華電信還要被多扣每筆10元的手續費嗎?

勞煩板上個位大大解惑，謝謝。

--
",7,2017-09-15,0.4876126994042896,3
2210,2210,10872,[情報] 7-11 測試刷卡階段好像沒有最低金額限制,/bbs/creditcard/M.1505541926.A.44D.html,40,james0217, 9/16,"

不久前就看到板上有人在 7-11 刷卡了，那時候看到的說法好像是最低消費金額需要 300
 元台幣才可以刷卡
昨天晚上剛好到了間具備刷卡機的 7-11，店員說可以刷卡，接著問他有沒有最低消費金
額限制，對方雖然說好像有，可是店員又回答不出到底多少，於是拿了兩瓶飲料測試結帳
，7-11 的 POS 好像是要手動在刷卡機上輸入金額，然後刷卡後，把簽單上卡號末4碼輸
入進 POS，然後就完成結帳了
結帳金額是 67 元，跟之前說的 300 元好像不太一樣
刷的卡也不是國泰世華的卡，是中國信託
底下是圖片







就給大家參考嘍XD

--




",39,2017-09-16,0.2963053827902133,40
2214,2214,10876,[問題] 網路/非網路通路辦卡  刷卡禮,/bbs/creditcard/M.1505564671.A.3C9.html,1,waiting0428, 9/16,"

之前在網路辦了一張漢神聯名卡

發現網路跟非網路送的刷卡禮不太依樣

最近又想辦一張漢神巨蛋的永豐卡

也是有同樣的問題

想請問網路跟非網路通路

除了人是成本不同以外

還有差在哪嗎

我看網路的幾乎都是登機箱

非網路的就有其他贈品可以選


--
",1,2017-09-16,0.6355537946551829,1
2221,2221,10883,[問題] 請問目前哪張卡送的行李箱比較好呢,/bbs/creditcard/M.1505612329.A.09B.html,27,JakeOdorizzi, 9/17,"


年底要出國 但原本的已經不堪使用 想說順便辦卡換一下

有看到玉山家樂福卡有送Kangol的 但不知道這牌的行李箱評價如何..

爬了一下文 最近都沒有相關討論 富邦似乎有送 但不知道品質

能否請最近有收到首刷禮行李箱的鄉民分享一下呢

我目前有國泰 中信 花旗的

--
",53,2017-09-17,0.5532452488271385,27
2222,2222,10884,[問題] 刷卡達團費80%送旅遊不便險,/bbs/creditcard/M.1505612465.A.522.html,5,Applefisch, 9/17,"



大家好~

如題~

一般刷機票或刷團費80%以上就可以享有旅遊不便險

這邊想請教的是，這個團費的80%可以分次刷嗎?

例如可能先刷訂金，之後剩餘款等確定成團後再刷~

我看信用卡網站的條款並沒有特別提到要一次刷，或是分開刷~

想問問版友有沒有人知道這個部分~

感謝!!!


--
",10,2017-09-17,0.2105450775569304,5
2223,2223,10885,[問題] 華南美饌卡破損率,/bbs/creditcard/M.1505621475.A.8F5.html,25,kurano, 9/17,"

大家的華南美饌卡破損率高嗎?
今天在刷卡的時候，店員說卡面磁條破掉了不能刷
當下覺得無言...因為這是第二張了
霧面的設計導致卡片很容易掀起來破損
我就破了第二張，我媽的附卡也是體無完膚
接下來要短期出國遊學
要趕快去再換張新的，覺得很煩因為最近要用卡的機會很高
如果又卡再要換新卡，會有段時間沒辦法刷

不能請華南幫我做亮面的嗎?像紅卡那樣比較穩固不是很好QQ

--
",29,2017-09-17,0.4350191705616144,25
2224,2224,10886,[問題] 自動加值會即時顯示嗎？需要告訴店員嗎？,/bbs/creditcard/M.1505628778.A.BFF.html,17,newasus, 9/17,"


小弟最近新辦一張悠遊聯名卡，確定有開啟自動加值功能

一開始先加500，最近花到剩下不到100

但是不到100之後的幾筆結帳(都在便利商店)刷卡機都沒有自動加值(讀卡機錢沒+500)

最後是到全家機器按自動加值

所以我想請問一下，不到100時的自動加值是即時的嗎？還是要等一段時間

--
",26,2017-09-17,0.3493799723908936,17
2225,2225,10887,[問題] 全家的信用卡讀卡機是不是感應特別慢,/bbs/creditcard/M.1505628888.A.48B.html,15,dp2046, 9/17,"

平常去全家, OK, 全聯, 家樂福消費通常會刷卡
四個之中就全家的感應速度最慢
而且是比起其他家慢很多
有時候還感應不到要請店員用插卡的方式讀取
然後家樂福讀取的速度最快
卡才剛放上讀卡機就馬上顯示Thank you, 就可以拿起來了

感覺全家好像不太歡迎消費者使用信用卡結帳
讀卡機慢又不換, 又只限制台新的才能刷

--
",22,2017-09-17,0.2983056063003774,15
2234,2234,10896,[問題] 學貸呆帳清償揭露期限與辦卡關聯,/bbs/creditcard/M.1505708882.A.8C6.html,3,snsd9, 9/18,"


各位前輩大家午安

先說明自身狀況 大約10多年前 民國90~95年間念大學時有辦過富邦學貸

但畢業後未正常還款 後來與富邦約定45萬分45期償還

自104年8月起一個月一萬還款 還至今年9月尚餘近20萬 但剛好有些儲蓄

就在9月8日把這20萬學貸一次結清了 富邦表示9月14日把清償紀錄送聯徵中心

想請問各位前輩的是..學貸揭露期 各方說法不太一樣

我問富邦 一位專員回答表示依照聯徵中心作業 大約2個月會取消呆帳註記

另一位專員則表示要6個月 而且保險一點最好再多等2個月 也就是8個月後才會消註記

我自己本版爬文也發現有版友說一個月

查詢網路看到有人說一週即會專案消除





聯徵中心資料則是如下

就學貸款資料：
凡自96年11月起新增未依貸款契約償還借款之學生或保證人違約資料（亦即金融機構於96
年12月所列報之96年11月新增授信戶違約或逾期等資料），該債信不良紀錄將依前揭規定
揭露至貸款完全償還為止，已償還者，由承貸銀行通知聯徵中心註銷其紀錄。如於96年10
月前已發生之學生或其D保證人違約資料，



請問依我的狀況 96年11月之前辦理的學貸 清償後 呆帳會註記多久呢?

不太了解甚麼是""一般授信資料揭露利用期限""

其實這些年以來我陸續嘗試辦卡 但都被打槍

個人除了學貸之外 沒有辦理過其他貸款 或是呆帳

現在終於清償 想重新辦卡 累積信用 感謝前輩們回答!


--
",6,2017-09-18,0.7623754437536422,3
2235,2235,10897,[問題] 台新的電子帳單寄送速度？,/bbs/creditcard/M.1505713127.A.D64.html,63,bailan, 9/18,"

我台新卡的結帳日是12號

可是電子帳單很奇怪，收到時間不一定

有快的時候14號收到

也有15號收到

慢的話17號才收到

這個月是到現在18號都還沒收到

網銀是可以查沒錯，不過電子帳單一些訊息還是比較清楚。

有人台新的電子帳單也是這樣時快時慢嗎？


--
Sent from my ibon

--
",68,2017-09-18,0.2697580541781705,63
2244,2244,10906,[問題] 關於聯名卡自動加值,/bbs/creditcard/M.1505736707.A.50D.html,12,bf000777966, 9/18,"


有時候買東西用電子票券聯名卡支付，但是卡片裡面的錢就剛好少了一兩元，這個時候就會想說不要為了這些錢又多花500來加值，不足就用現金補。有些超商會跟我講不能這樣，一定要自動加值，有些商店會問你要不要自動價值，但是跟他說不要還是有時候會自動加值，請問大大聯名卡究竟是不是一定要自動加值呢？

-----
Sent from JPTT on my Asus ASUS_Z00AD.

--
",13,2017-09-18,0.2915778863073621,12
2246,2246,10908,[情報] 106年08月信用卡發卡量與簽帳金額,/bbs/creditcard/M.1505744100.A.F57.html,40,FWade, 9/18,"

106年08月信用卡發卡量與簽帳金額

有效卡數最高為國泰，有效卡率最高為花旗，
簽帳金額最高為國泰，平均簽帳金額最高為美運。






機構  流通卡數   有效卡數  有效卡率 發卡數  停卡數  淨發卡數 簽帳額(M) 平均
國泰  5,988,160  4,300,324  71.81%  57,012 127,308  -70,296   40,807   9,489
中信  6,219,919  3,992,643  64.19%  73,899  44,498   29,401   32,480   8,135
玉山  4,507,083  3,147,153  69.83%  51,294  27,353   23,941   27,052   8,596
台新  4,027,192  2,841,303  70.55%  50,348  56,448   -6,100   20,607   7,253
花旗  2,893,290  2,470,965  85.40%  23,034  23,630     -596   20,004   8,096
富邦  2,349,494  1,749,696  74.47%  23,748  18,907    4,841   18,969  10,841
聯邦  2,008,893  1,136,130  56.56%  23,947  24,001      -54    7,375   6,491
永豐  1,827,861  1,043,873  57.11%  15,750  18,648   -2,898    6,949   6,657
遠東  1,456,557    960,943  65.97%  14,861   7,988    6,873    4,387   4,565
華南  1,012,112    759,422  75.03%  32,281   9,886   22,395    4,314   5,681
一銀    982,889    641,282  65.24%  13,567   9,629    3,938    4,397   6,857
新光    913,705    490,338  53.66%   7,372  13,197   -5,825    3,951   8,058
元大    623,567    440,825  70.69%  11,902   5,053    6,849    5,047  11,449
兆豐    628,943    413,814  65.80%  18,712   4,665   14,047    2,584   6,244
匯豐    586,476    402,385  68.61%   9,457   7,286    2,171    4,840  12,028
澳盛    542,722    324,966  59.88%   5,692   4,594    1,098    2,988   9,195
大眾    568,437    322,608  56.75%   6,902   4,906    1,996    2,002   6,206
合庫    469,901    286,370  60.94%   6,882   4,349    2,533    2,926  10,218
樂天    326,722    229,467  70.23%  13,837     793   13,044    1,176   5,125
彰銀    427,191    202,949  47.51%   3,146   2,777      369    1,331   6,558
渣打    326,948    200,226  61.24%   3,878   4,013     -135    1,276   6,373
凱基    451,788    192,734  42.66%   4,899   8,712   -3,813    1,067   5,536
上海    361,434    186,460  51.59%   1,713   2,065     -352    1,140   6,114
土銀    258,404    137,169  53.08%   4,579   1,357    3,222      882   6,430
台銀    250,583    130,719  52.17%   1,047   3,179   -2,132      700   5,355
台企    325,788    126,427  38.81%   1,910   2,331     -421    1,031   8,155
美運    170,555    112,341  65.87%   2,909   3,179     -270    4,066  36,193
日盛    172,169    100,267  58.24%     456     566     -110      443   4,418
台中    208,532     80,650  38.68%   2,134   1,145      989      569   7,055
安泰    161,471     67,400  41.74%     761     437      324      457   6,780
陽信     94,203     50,788  53.91%   1,199     941      258      315   6,202
永旺     73,673     32,633  44.29%     139     664     -525      128   3,922
三信     16,349     11,008  67.33%     144      84       60      124  11,265
華泰     10,460      6,129  58.59%      62      33       29       50   8,158
星展     12,307      5,417  44.02%      31      54      -23       55  10,153
高雄     10,553      4,501  42.65%     217      77      140      156  34,659

一、資料來源：各金融機構自行申報

二、揭露項目及認定標準：
      1. 流通卡數：發卡總數減停卡總數，且卡片狀況為正常者
      2. 有效卡數：最近六個月有消費紀錄之卡，不含Debit卡，只有郵購分期交易亦算
有
      3. 有效卡率：有效卡數 / 流通卡數
      4. 當月發卡數：不含補發卡、續卡。
      5. 當月停卡數：指新增停卡部分。
      6. 當月淨發卡數：當月發卡數 - 當月停卡數
      7. 簽帳金額：持卡人當月刷卡消費金額，如屬分期消費帳款應於消費當月全數申
報本欄
      8. 平均：簽帳金額 / 有效卡數

--
",49,2017-09-18,0.27529549278374105,40
2270,2270,10932,[問題] 學生辦中信line pay卡的問題,/bbs/creditcard/M.1505820184.A.73F.html,9,uranus905, 9/19,"


我今天上網申辦了一張line pay visa御璽卡
目前21歲 進修部 白天在做行政工讀
年收有過20萬
想問一定會通知父母嗎？還是可以只通知其中一位？
因為我爸對信用卡的觀感非常差  一定不同意
想說如果可以只通知一位 我媽還可以幫我cover一下

-----
Sent from JPTT on my Sony E6653.

--
",13,2017-09-19,0.2620887168899489,9
2271,2271,10933,[情報] 新光銀將開放E-Mail刷卡消費通知,/bbs/creditcard/M.1505823697.A.62B.html,4,skymqrc, 9/19,"

剛收到新光的E-Mail通知

（新光銀近來把簡訊刷卡消費通知的金額門檻提高了，正愁要刷3000以上才有簡訊通知）

現在即將於106年9月30日起開放【電子郵件刷卡消費通知】功能，信用卡/debit/debit 悠遊都
包括，每筆刷卡消費都E-Mail通知！


官網截圖




--













--




",7,2017-09-19,0.5703986026817554,4
2284,2284,10946,[問題] PChome 個人賣場 撥款日 與 請款日 差別,/bbs/creditcard/M.1505877851.A.3CD.html,2,blackZ2, 9/20,"

由於很少網購

想要請問大家撥款日與請款日的差別

PChome 付款狀態中的 將於 10/02撥款給賣家

請問會影響請款日嗎? 因為我想要累積9月的信用卡金額

謝謝


--
",4,2017-09-20,0.7547440840203312,2
2303,2303,10965,[問題] 請問玉山家樂福聯名卡送的麥克風,/bbs/creditcard/M.1505975966.A.B38.html,0,jacky255257, 9/21,"

請問有人用過玉山家樂福卡送的藍芽麥克風嗎？
不知道音質O不OK?
想請問大大們
謝謝

--
",5,2017-09-21,0.2062346520280525,0
2313,2313,10975,[情報]【魔卡：樂天君臨】My Precious 任你刷~,/bbs/creditcard/M.1505998597.A.1E6.html,25,JaoTom, 9/21,"




規則同前

時間是 09/22-09/24

樂天九月Combo

還沒解任務的請把握


--
",28,2017-09-21,0.4588502089709968,25
2316,2316,10978,[情報] 澳盛信用卡轉星展年費減免條件變化,/bbs/creditcard/M.1506004784.A.A20.html,6,alex1973, 9/21,"

ANZ 的信用卡, 在 11/25 以後由 DBS 概括承受, 年費減免條件的
變化在 DBS 官網已經有表出來了:




看到有變化似乎只有:
Lexus 商務白金卡主卡免年費標準降為三萬

--
",11,2017-09-21,0.5359241785413661,6
2325,2325,10987,[問題] 哪樣辦卡頻率聯徵會認定太過密集？,/bbs/creditcard/M.1506053926.A.4DF.html,18,cannotsleep, 9/22,"


板上神人們午安~
小弟自從開始在板上爬文後
有了一批辦卡口袋名單
但是剛才去花旗辦卡
業務跟我說短期內不要辦超過3張
不然會被聯徵reject掉
要再等100天才能再辦
想請問有確切的規定嗎？
譬如說在幾個月內不能辦超過幾張?
因為如果是這樣我必須取捨哪些先辦
那些晚一點甚至明年再辦
懇請解答了~
感激不盡！

-----
Sent from JPTT on my Asus ASUS_Z012DA.

--
",20,2017-09-22,0.3883192584640216,18
2330,2330,10992,[問題] 玉山外幣卡的繳款問題,/bbs/creditcard/M.1506061558.A.70E.html,0,gg0602, 9/22,"

各位大大好
小弟最近有辦張玉山外幣（日幣）
前陣子有用這張刷了台幣的東西
我都用手機app登入後繳款
在日本刷日幣時系統寄簡訊來
上面卻寫說是新台幣的金額
在app上看也找不到用外幣帳戶扣款的選項
這情況該如何解決？人在國外 可能要幾個月才回台

--
",4,2017-09-22,0.4298591399828524,0
2331,2331,10993,[問題] 聯邦紅利轉換成里程所需時間,/bbs/creditcard/M.1506065099.A.190.html,0,cakepupu, 9/22,"

請問聯邦的紅利轉換成華航的里程大概需要幾個工作天的時間呢 ?

聯邦網站上是寫2~4周，真的會這麼久嗎?

等拿到哩程機位都沒了  XD


--
",3,2017-09-22,0.5375614478541241,0
2335,2335,10997,[問題] 滿額後申請line pay鼎極卡 還會被打槍嗎,/bbs/creditcard/M.1506073284.A.C8A.html,15,Couples, 9/22,"

請問一下

如果年底前可以刷超過36萬

這樣申請鼎極卡 還有可能會沒過嗎

不曉得有沒有人可以分享一下

目前正在猶豫大額的旅費 要不要用line pay卡刷

謝謝囉


--
",20,2017-09-22,0.32495110800220045,15
2336,2336,10998,[心得] 亞洲萬里通暢遊里程生活圈,/bbs/creditcard/M.1506079717.A.FD8.html,51,yijoll, 9/22,"

5000里程數GET!
四個領域依照版友建議在采采食茶買8點過後蛋糕買一送一($160)，剛好出差訂國泰機票($0)，國泰信用卡固定轉里程($0)，在crate and barrel買酒瓶塞($5-60)

今天看亞萬帳戶已經進帳了，大家快去確認

手機排版傷眼見諒

--
",52,2017-09-22,0.9883345500603462,51
2338,2338,11000,[問題] 華南 the one 特急件 分行選擇,/bbs/creditcard/M.1506087793.A.82B.html,2,sheeppig, 9/22,"

本身為華南信用卡的客戶，
想要加辦the one 信用卡。
可是因為工作關係在台只有一個禮拜，
為確保時效，
想衝台北市可以快速辦理(送件)的分行,
有經驗的版友可以推薦分行嗎？感謝。

--
",6,2017-09-22,0.5990761608781751,2
2346,2346,11008,[問題] 好市多可否使用信用卡當載具,/bbs/creditcard/M.1506137446.A.98D.html,8,Walu, 9/23,"


請問是否有使用經驗
利用國泰世華好市多卡
在好市多結帳時當發票載具


-----
Sent from JPTT on my Xiaomi MI 5s Plus.

--
",10,2017-09-23,0.15478866666831928,8
2347,2347,11009,[問題] 中年保全小白月光族辦卡,/bbs/creditcard/M.1506146782.A.60E.html,9,chenyenpo, 9/23,"


如果，像我朋友他，超過45歲，再就業，
現職業是保全，做5個月未滿半年，
沒貸款沒信用卡，有第一銀行薪轉，
年收入約40萬，有薪資單及薪轉簿，
但沒去年扣繳憑單
租房住，但第一銀戶頭錢幾乎光光，
請問，他辦第一銀行信用卡好辦嗎？
那種卡？
萬一不行，有那種方法改進？
幫朋友問的，謝謝！

-----
Sent from JPTT on my Sony G3226.

--

但他薪資一來就先領起來，造成存摺幾乎沒往來，銀行會查嗎？

應該是

是了，職業問題，可惜了就算他超過半年，存摺沒錢也辦不了
",13,2017-09-23,0.34668246984106404,9
2359,2359,11021,"Re: [情報] 106年愛買周四500點換300券,條件限縮,注意",/bbs/creditcard/M.1506180357.A.37D.html,6,neon7134, 9/23,"

借標題請教op大或最近有換過券的大大

現在周四還有500點換300券嗎?

愛買官網已經沒列了 但遠銀官網還有

有點被搞混了

現在還可以用500點換300券嗎?



--
",6,2017-09-23,0.10621274809518202,6
2360,2360,11022,[問題] 中信line pay有辦法儲etag嗎？,/bbs/creditcard/M.1506182088.A.1D8.html,4,iamrufe, 9/23,"


不好意思

爬了一下文發現中信line pay好像可以儲值etag

但無法自動扣款，想請問儲值方法是？有手續費嗎？

謝謝

--
",8,2017-09-23,0.28541436044864804,4
2375,2375,11037,Fw: [問題] 多付幾萬元息來提早幾個月還完卡循？,/bbs/creditcard/M.1506264449.A.46F.html,14,akids88088, 9/24,"

情況：手上有30萬的循環卡額要繳，卡額不會再增加
選項：

A) 目前信用狀況只貸得到25萬，先貸來還，讓卡額只剩5萬，然後剩下的卡額5期還清。
好處-先把循環降低
壞處-剩下的5萬仍要5期才能還清，信用仍然要壞5個月。
     信貸利息較高，約比B方案多1萬

B) 3個月後的信用，可貸得到30萬，一次還清
好處-信貸利息較低，約比A方案少1萬
壞處-3個月內循環仍高

C) 1個月後的信用，可貸得到30萬，一次還清，但利息比B高3萬。
好處-1個月後解決循環問題，信用比B早兩個月停止變差
壞處-利息比方案B高3萬

簡單的說，

A方案，信貸的利息3萬。信用5個月個停止變差，但至少沒那麼差。
B方案，信貸的利息2萬。信用3個月後停止變差。
C方案，信貸的利息5萬。信用1個月後停止變差。

D方案，不信貸，慢慢繳卡費，1年內繳完，循環利小於信貸利。1年內信用很差。

最基本的評量方式就是要不要用多1~3萬塊的利息來讓信用早幾個月停止變差。
「停止變差」等不等於「變好」我不知道，至少不再信用循環。

可否請有經驗的大大指點迷津？謝謝！

--


謝謝各位大大的回覆，補充說明一下好了：

如果在一年還完卡費，每個月付出是26,000元
如果在兩年還完卡費，每個月付出是13,000元
如果在兩年還完信貸，每個月付出是11,xxx~18,xxx元

主要考量的點是要不要把攤還期間拉長來降低每月的還款支出，
但總金額會多個2~5萬塊。

次要考量的點就是如前文所說的，有循環利背著，是不是比信貸的信用差？

比如背了30萬的循環利，跟有30萬的信貸在繳，難道信用的影響是一樣的嗎？
",27,2017-09-24,0.6080866425787008,14
2378,2378,11040,[新聞] 咖啡族也愛刷卡　每月平均刷1.5萬元 ,/bbs/creditcard/M.1506293986.A.CE7.html,17,Toyosushij, 9/25,"

新聞來源:蘋果

新聞標題:咖啡族也愛刷卡　每月平均刷1.5萬元

新聞內容:
根據一銀內部一項大數據分析顯示，喜歡喝咖啡者，每月平均刷卡金額，達1.5萬元，竟
然比一般客群的月刷卡金額，高出一倍多，顯示愛喝咖啡、也愛刷卡。

據該數據分析，愛喝咖啡者，在海外消費、藝文類和餐飲占比，這三大類刷卡額上，都比
一般客群還高，如餐飲類，就佔了10%，比一般客群僅佔5%，多了一倍。

一銀還發現，這些咖啡族，也是行動支付愛好者，很喜歡用「手機」刷卡，接受度比一般
客群高出1.71倍。

為瞄準咖啡族商機，一銀和丹堤咖啡合推「丹堤聯名e卡」，這也是全台第一張咖啡聯名
卡。（廖珮君／台北報導）

新聞網址:



--
",29,2017-09-25,0.4707589879873054,17
2379,2379,11041,[情報] 元大金子公司元大銀與大眾銀合併基日,/bbs/creditcard/M.1506301681.A.51B.html,8,bluezx103, 9/25,"

元大金控代子公司元大銀行公告與大眾商業銀行股份有限公司合併基準日

1.事實發生日:106/09/22

2.公司名稱:元大商業銀行股份有限公司

3.與公司關係(請輸入本公司或子公司):子公司

4.相互持股比例:100%

5.發生緣由:

(1)元大銀行與大眾商業銀行股份有限公司合併案業經金融監督管理委員會

106年1月17日金管銀控字第10500320920號函核准在案。

(2)元大銀行訂定107年1月1日為合併基準日。

6.因應措施:無

7.其他應敘明事項:無





--
",14,2017-09-25,0.5029271140318801,8
2380,2380,11042,[問題] 辦附卡的一些問題,/bbs/creditcard/M.1506306191.A.C87.html,1,iamteye, 9/25,"




卡板首發 大家早安



因為下個禮拜要出國的關係

請家人幫忙辦了一張附卡，目前是在審核中

但因為我中國信託有法律上的問題所以被鎖卡（非信用不良）

而家人的卡是上海銀行， 我沒有上海銀行的帳戶

請問這樣有連動效果嗎？

會因為我其他銀行被鎖而導致我的附卡也無法通過嗎？


謝謝大家的回答










--


因為被一個小朋友告詐欺，但確定是誣告，警方那邊也沒辦法處理，所以很無奈。

",5,2017-09-25,0.19485310972949624,1
2383,2383,11045,[問題] 華南icash聯名卡自動分期～,/bbs/creditcard/M.1506312132.A.037.html,7,ps218, 9/25,"


看到華南icash聯名卡有單筆滿3000元
的功能，不知道如果在蝦皮不同賣家的商品一起結帳的話，有超過3000是否也有
？




--
",8,2017-09-25,0.3703559620707122,7
2384,2384,11046,Re: [情報] iShow儲值卡與信用卡搭配,/bbs/creditcard/M.1506312551.A.0A8.html,17,Go2, 9/25,"





ishow 卡現在可以線上儲值了 (官方購票網、APP)
有需要的人可以多加利用
可以完全純線上操作 (儲值，購票，自動取票機取票或用 app 入場)

--
",27,2017-09-25,0.5281151926125492,17
2385,2385,11047,Re: [情報] 國泰世華Anantara安納塔拉(位),/bbs/creditcard/M.1506313989.A.677.html,2,Infinite, 9/25,"



原文借用 人現在在曼谷要回去了

我參加的是曼谷的體驗專案
三晚住宿 含來回機場接送

他說他們的體驗專案有兩種
一種是跟銀行合作的
一種是由他們會員邀請的

到機場會有人舉著你名字牌子
跟著上車就可以
到飯店後跟一般check in一樣
拿護照給他辦理

其中一天要去參加2小時的說明會
一對一說明
接待你的通常是中國 或是新馬華人

計畫整體來說就是 交錢 買積分這樣
大概80萬台幣左右
當場付15% 然後剩下的分五年每月攤還
一年可得到10000分 直到2045年為止

我是聽完後直接回絕說太貴了
然後也不囉嗦 就結束
幫你預約回程的接送時間 閃人 ...

跟大家分享一下

--
",6,2017-09-25,0.4277738640737126,2
2389,2389,11051,[問題] 申辦信用卡之扣繳憑單如何辦理,/bbs/creditcard/M.1506324207.A.0AE.html,4,snsd9, 9/25,"


前輩午安

想請問 在板上時常看到前輩使用年度扣繳憑單申辦信用卡

但我的工作(約聘)並沒有給我像複寫紙薄薄的那張憑單

google後 似乎是報稅軟體可以列印?

但一直無法安裝在我的電腦上

而我有將105年度電子報稅的收執聯存檔(PDF)

內有扣繳金額資料

請問這樣的截圖可以當作扣繳憑單 申請卡片嘛?


謝謝各位撥空解答 祝安好

--
",5,2017-09-25,0.2362545691611945,4
